nfhs_state,nfhs_district,census_state,census_district,rule,note
# ---------------------------------------------------------------------------
# Manual crosswalk overrides. Applied BEFORE fuzzy matching and always win.
#
#   rule = rename    same geography, different name across the two vintages
#   rule = child_of  post-2011 district carved out of the named Census parent
#   rule = exclude   deliberately not matched (reason in note)
#
# Every census_district string here was verified to exist in the Census 2011
# file for that state before being written. A typo produces a loud
# "OVERRIDE TARGET NOT FOUND" in the Phase 1 output rather than a silent miss.
#
# child_of rows do NOT get their own population — they share the parent's,
# apportioned equally among siblings. See reports/reconciliation_report.md.
# ---------------------------------------------------------------------------

# --- pure renames ----------------------------------------------------------
Uttar Pradesh,Prayagraj,UTTAR PRADESH,Allahabad,rename,Renamed 2018
Uttarakhand,Pauri Garhwal,UTTARAKHAND,Garhwal,rename,Census lists as Garhwal
Puducherry,Puducherry,PONDICHERRY,PONDICHERRY,rename,UT renamed 2006; Census still Pondicherry
Chhattisgarh,Dantewada,CHHATTISGARH,Dakshin Bastar Dantewada,rename,Census uses the long form
Gujarat,Dahod,GUJARAT,Dohad,rename,Transliteration variant
Gujarat,Panchmahal,GUJARAT,Panch Mahals,rename,Spacing and plural variant
Gujarat,Sabarkantha,GUJARAT,Sabar Kantha,rename,Spacing variant

# --- Telangana: created 2014 from Andhra Pradesh ---------------------------
# The largest single crosswalk problem here. Census 2011 has 10 districts in
# what is now Telangana; NFHS-5 has 31. Parents below are the 2011 districts.
Telangana,Bhadradri Kothagudem,ANDHRA PRADESH,Khammam,child_of,2016 reorganisation
Telangana,Jagitial,ANDHRA PRADESH,Karimnagar,child_of,2016 reorganisation
Telangana,Jangoan,ANDHRA PRADESH,Warangal,child_of,2016 reorganisation
Telangana,Jayashankar Bhupalapally,ANDHRA PRADESH,Warangal,child_of,2016 reorganisation
Telangana,Jogulamba Gadwal,ANDHRA PRADESH,Mahbubnagar,child_of,2016 reorganisation
Telangana,Kamareddy,ANDHRA PRADESH,Nizamabad,child_of,2016 reorganisation
Telangana,Komaram Bheem Asifabad,ANDHRA PRADESH,Adilabad,child_of,2016 reorganisation
Telangana,Mahabubabad,ANDHRA PRADESH,Warangal,child_of,2016 reorganisation
Telangana,Mancherial,ANDHRA PRADESH,Adilabad,child_of,2016 reorganisation
Telangana,Medchal-Malkajgiri,ANDHRA PRADESH,Rangareddy,child_of,2016 reorganisation
Telangana,Nagarkurnool,ANDHRA PRADESH,Mahbubnagar,child_of,2016 reorganisation
Telangana,Nirmal,ANDHRA PRADESH,Adilabad,child_of,2016 reorganisation
